args,ppl_mean,ppl_std,exit_points_mean,exit_points_std
"{'ee_softmax_threshold': [0.943822979927063, 0.9007954001426697, 0.8678393363952637, 0.842597246170044, 0.8232636451721191, 0.8084554672241211, 0.7971134781837463, 0.7884262800216675, 0.7817724943161011, 0.7766761779785156, 0.7727727890014648, 0.769783079624176, 0.7674931287765503, 0.7657392024993896, 0.7643958330154419]}",6.1963,2.6759,9.3193,5.5609
"{'ee_softmax_threshold': [0.9414823055267334, 0.8966618776321411, 0.8623325824737549, 0.8360388278961182, 0.8158996105194092, 0.8004744648933411, 0.7886598706245422, 0.7796106934547424, 0.7726796865463257, 0.7673710584640503, 0.7633050084114075, 0.7601906657218933, 0.757805347442627, 0.7559783458709717, 0.7545790076255798]}",6.3061,2.7817,9.2153,5.5555
"{'ee_softmax_threshold': [0.939141571521759, 0.8925283551216125, 0.8568258881568909, 0.8294803500175476, 0.808535635471344, 0.7924934029579163, 0.7802062630653381, 0.7707951068878174, 0.7635868787765503, 0.7580658793449402, 0.7538371682167053, 0.7505983114242554, 0.7481175661087036, 0.7462174892425537, 0.744762122631073]}",6.3006,2.7583,9.1624,5.5595
"{'ee_softmax_threshold': [0.9368008375167847, 0.888394832611084, 0.8513191938400269, 0.8229219317436218, 0.801171600818634, 0.7845124006271362, 0.771752655506134, 0.7619795799255371, 0.7544940710067749, 0.7487607598304749, 0.744369387626648, 0.7410059571266174, 0.7384297847747803, 0.7364566326141357, 0.7349452972412109]}",6.3547,2.7823,9.0803,5.542
"{'ee_softmax_threshold': [0.9344601631164551, 0.8842612504959106, 0.8458124399185181, 0.8163633942604065, 0.7938075065612793, 0.7765313386917114, 0.7632989883422852, 0.7531639337539673, 0.7454012036323547, 0.73945552110672, 0.7349015474319458, 0.7314135432243347, 0.7287419438362122, 0.726695716381073, 0.7251284122467041]}",6.4597,2.6574,8.8704,5.5095
"{'ee_softmax_threshold': [0.9321194291114807, 0.8801277279853821, 0.840305745601654, 0.8098049759864807, 0.7864435315132141, 0.7685502767562866, 0.754845380783081, 0.7443483471870422, 0.7363083958625793, 0.7301503419876099, 0.7254337668418884, 0.721821129322052, 0.7190541625022888, 0.716934859752655, 0.715311586856842]}",6.5415,2.7284,8.7847,5.494
"{'ee_softmax_threshold': [0.9297786951065063, 0.8759942054748535, 0.83479905128479, 0.8032464981079102, 0.7790794968605042, 0.7605692744255066, 0.746391773223877, 0.7355327606201172, 0.727215588092804, 0.7208452224731445, 0.7159659266471863, 0.7122287750244141, 0.7093663811683655, 0.7071740031242371, 0.70549476146698]}",6.5936,2.7824,8.719,5.4834
"{'ee_softmax_threshold': [0.9274380207061768, 0.8718606233596802, 0.829292356967926, 0.7966880798339844, 0.7717154622077942, 0.7525882720947266, 0.7379381656646729, 0.7267172336578369, 0.7181227803230286, 0.7115400433540344, 0.7064981460571289, 0.7026364207267761, 0.6996785998344421, 0.6974131464958191, 0.6956779360771179]}",6.792,3.0948,8.6131,5.4471
"{'ee_softmax_threshold': [0.9250972867012024, 0.8677271008491516, 0.823785662651062, 0.7901296019554138, 0.7643514275550842, 0.7446072101593018, 0.7294845581054688, 0.7179016470909119, 0.7090299725532532, 0.7022349238395691, 0.6970303654670715, 0.6930440664291382, 0.6899908185005188, 0.6876522302627563, 0.6858611106872559]}",6.8098,3.0769,8.5493,5.446
"{'ee_softmax_threshold': [0.922756552696228, 0.863593578338623, 0.8182789087295532, 0.7835711240768433, 0.756987452507019, 0.7366262078285217, 0.7210309505462646, 0.7090860605239868, 0.6999371647834778, 0.692929744720459, 0.6875625848770142, 0.6834516525268555, 0.6803030371665955, 0.6778913736343384, 0.676044225692749]}",7.114,3.678,8.438,5.4304
